Marca temporal,Edad:,Género,Tipo de colegio,Facultad,Carrera ,Carrera,Carrera,Carrera,Carrera,Año de carrera,Rendimiento académico general,Rendimiento académico último cuatrimestre,¿Cuántas horas duermes? (en periodo de exámenes),¿Cuántas horas duermes? (excluyendo periodo de exámenes),¿Cuántas horas de ocio? (en periodo de exámenes),¿Cuántas horas de ocio tienes? (excluyendo periodo de exámenes),¿Cuántas horas de estudio independiente? (excluyendo periodo de exámenes),¿Cuántas horas de estudio independiente? (en periodo de exámenes),¿Cómo de saludables definirías tus hábitos nutricionales?,¿Cuán activa definirías tu vida social?,¿Cuál es tu situación doméstica?,¿Cuál es tu situación laboral?,¿Consideras que tienes estrés?,¿Tomas alguna medida para combatir tu estrés?,¿Cuántas veces sales de fiesta al mes? (sin período de exámenes),¿Cuántas veces a la semana haces deporte? (sin estar en período de exámenes),Hobbies,¿Tienes pareja estable?,¿Cuánto tiempo pasas con tu pareja? (en período de exámenes),¿Cuánto tiempo pasas con tu pareja? (sin estar en período de exámenes)
11/04/2022 15:07:54,31,Hombre,Concertado,Ciencias,,Física,,,,Quinto año,Entre 5 y 6,Entre 5 y 6,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,menos de 1 hora diaria,entre 5 y 6 horas diarias,7,10,Vivo con mis padres,No tengo trabajo,No,,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,Ver películas,No,,
11/04/2022 15:09:02,19,Hombre,Público,EPS,,,,,Edificación,Primer año,Entre 6 y 7,Entre 6 y 7,entre 5 y 6 horas diarias,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 1 y 2 horas diarias,8,8,Vivo con mis padres,Tengo trabajo estable,Tal vez,No,Salgo de fiesta más de dos veces al mes,5 o más,"Bailar, Escuchar música",No,,
11/04/2022 15:10:16,26,Hombre,Público,EPS,,,,,Edificación,Primer año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,1,5,Vivo solo,Trabajo de manera esporádica,Tal vez,No,Salgo de fiesta más de dos veces al mes,Casi nunca/No hago deporte,"Bricolaje/Jardinería, Dibujar, Escuchar música, Ver películas, Videojuegos",No,,
11/04/2022 15:14:26,23,Mujer,Público,EPS,,,,,Edificación,Cuarto año,Entre 6 y 7,Entre 7 y 8,entre 5 y 6 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,8,6,Vivo con mis padres,Tengo trabajo estable,Tal vez,No,Salgo de fiesta más de dos veces al mes,1 o 2 veces por semana,"Cocina, Dibujar, Ver películas",No,,
11/04/2022 15:15:04,22,Hombre,Público,EPS,,,,,Edificación,Cuarto año,Entre 6 y 7,Entre 4 y 5,entre 4 y 5 horas diarias,entre 4 y 5 horas diarias,entre 2 y 3 horas diarias,más de 8 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,6,10,Vivo con mis padres,Trabajo de manera esporádica,Sí,NS/NC,Salgo de fiesta más de dos veces al mes,Casi nunca/No hago deporte,"Bricolaje/Jardinería, Cocina, Dibujar, Escuchar música",No,,
11/04/2022 15:15:09,24,Hombre,Público,EPS,,,,,Edificación,Quinto año,Entre 6 y 7,Entre 7 y 8,entre 5 y 6 horas diarias,entre 8 y 9 horas diarias,entre 2 y 3 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,3,8,Vivo con mis padres,Trabajo en verano,No,,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Bricolaje/Jardinería, Escuchar música, Ver películas, Videojuegos",No,,
11/04/2022 15:28:45,21,Hombre,Concertado,EPS,,,,,Edificación,Cuarto año,Entre 6 y 7,Entre 6 y 7,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,4,6,Vivo con mis padres,Trabajo en verano,Tal vez,Si,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Bricolaje/Jardinería, Cocina, Escuchar música, Ver películas, Videojuegos",No,,
11/04/2022 15:34:01,19,Mujer,Concertado,Economía y Empresa,Doble grado de AdE y Economía,,,,,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 5 y 6 horas diarias,entre 6 y 7 horas diarias,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,entre 4 y 5 horas diarias,entre 6 y 7 horas diarias,6,6,Vivo con mis padres,No tengo trabajo,Sí,No,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Dibujar, Escuchar música, Fotografía, Meditación/Yoga, Ver películas",No,,
11/04/2022 15:40:45,22,Mujer,Público,Educación,,,Educación primaria,,,Cuarto año,Entre 7 y 8,Entre 7 y 8,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,3,7,Vivo con mis padres,Trabajo de manera esporádica,No,,Salgo de fiesta más de dos veces al mes,Casi nunca/No hago deporte,"Bailar, Leer",No,,
11/04/2022 15:49:36,25,Mujer,Público,Educación,,,Educación infantil,,,Segundo año,Entre 8 y 9,Entre 8 y 9,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,7,9,Vivo con mis padres,Trabajo en verano,Sí,NS/NC,Salgo de fiesta más de dos veces al mes,Casi nunca/No hago deporte,"Escuchar música, Ver películas",No,,
11/04/2022 15:55:32,19,Mujer,Público,Educación,,,Educación social,,,Segundo año,Entre 8 y 9,Entre 8 y 9,más de 9 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,entre 7 y 8 horas diarias,4,8,Vivo en un piso compartido,Trabajo en verano,Sí,Si,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,Escuchar música,No,,
11/04/2022 16:05:10,20,Hombre,Público,Ciencias,,Biología,,,,Segundo año,Entre 7 y 8,Entre 6 y 7,entre 5 y 6 horas diarias,entre 8 y 9 horas diarias,entre 2 y 3 horas diarias,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,6,5,Vivo con mis padres,No tengo trabajo,Sí,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Dibujar, Leer, Ver películas",No,,
11/04/2022 16:06:29,20,Hombre,Público,Filosofía y Letras,,,,Filosofía,,Tercer año,Entre 6 y 7,Entre 6 y 7,entre 7 y 8 horas diarias,entre 8 y 9 horas diarias,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,7,7,Vivo con mis padres,Busco trabajo de manera activa,No,,Nunca o casi nunca salgo de fiesta,3 o 4 veces por semana,"Cocina, Escuchar música, Leer, Ver películas",No,,
11/04/2022 16:07:17,22,Hombre,Público,Filosofía y Letras,,,,Filosofía,,Tercer año,Entre 7 y 8,Entre 6 y 7,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,entre 3 y 4 horas diarias,entre 5 y 6 horas diarias,entre 3 y 4 horas diarias,entre 4 y 5 horas diarias,6,7,Vivo con mis padres,No tengo trabajo,Tal vez,NS/NC,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Escuchar música, Instrumento musical, Leer, Videojuegos",No,,
11/04/2022 16:15:39,22,Mujer,Privado,Filosofía y Letras,,,,Historia,,Cuarto año,Entre 7 y 8,Entre 7 y 8,entre 4 y 5 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,8,8,Vivo con mis padres,No tengo trabajo,Tal vez,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,Instrumento musical,No,,
11/04/2022 16:16:38,24,Hombre,Público,Filosofía y Letras,,,,Historia,,Quinto año,Entre 6 y 7,Entre 7 y 8,entre 6 y 7 horas diarias,más de 9 horas diarias,entre 4 y 5 horas diarias,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,6,8,Vivo con mis padres,Trabajo en verano,Tal vez,No,Salgo de fiesta más de dos veces al mes,Casi nunca/No hago deporte,"Escuchar música, Leer, Ver películas, Videojuegos",No,,
11/04/2022 16:16:38,22,Hombre,Público,Filosofía y Letras,,,,Historia,,Cuarto año,Entre 7 y 8,Entre 7 y 8,entre 5 y 6 horas diarias,entre 6 y 7 horas diarias,entre 4 y 5 horas diarias,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,5,7,Vivo con mis padres,Busco trabajo de manera activa,Sí,NS/NC,Salgo de fiesta una o dos veces al mes,Casi nunca/No hago deporte,"Escuchar música, Ver películas",No,,
11/04/2022 16:32:05,21,Hombre,Público,Ciencias,,Física,,,,Tercer año,Entre 6 y 7,Entre 4 y 5,entre 8 y 9 horas diarias,entre 8 y 9 horas diarias,entre 2 y 3 horas diarias,entre 5 y 6 horas diarias,entre 3 y 4 horas diarias,entre 4 y 5 horas diarias,5,7,Vivo solo,No tengo trabajo,Sí,No,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Escuchar música, Ver películas, Videojuegos",No,,
11/04/2022 16:44:44,18,Mujer,Concertado,EPS,,,,,Matemáticas,Primer año,Menor que 4,Menor que 4,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,entre 4 y 5 horas diarias,8,8,Vivo con mis padres,Busco trabajo de manera activa,Sí,No,Salgo de fiesta más de dos veces al mes,Casi nunca/No hago deporte,"Bailar, Dibujar, Escuchar música, Fotografía, Instrumento musical, Meditación/Yoga, Ver películas",No,,
11/04/2022 16:50:51,20,Mujer,Público,Filosofía y Letras,,,,Trabajo Social,,Tercer año,Entre 6 y 7,Entre 5 y 6,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,más de 8 horas diarias,entre 3 y 4 horas diarias,más de 8 horas diarias,7,9,Vivo con mis padres,No tengo trabajo,Sí,Si,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,"Bailar, Escuchar música, Meditación/Yoga",No,,
11/04/2022 16:50:55,21,Mujer,Público,Filosofía y Letras,,,,Trabajo Social,,Cuarto año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 7 y 8 horas diarias,entre 3 y 4 horas diarias,entre 6 y 7 horas diarias,4,7,Vivo con mis padres,Trabajo en verano,Sí,Si,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Dibujar, Escuchar música, Fotografía",No,,
11/04/2022 17:40:12,21,Hombre,Público,Ciencias,,Física,,,,Cuarto año,Entre 8 y 9,Entre 8 y 9,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,menos de 1 hora diaria,entre 5 y 6 horas diarias,más de 8 horas diarias,8,3,Vivo con mis padres,Trabajo en verano,No,,Nunca o casi nunca salgo de fiesta,5 o más,"Dibujar, Leer",No,,
11/04/2022 17:46:24,20,Mujer,Público,Educación,,,Enfermería,,,Primer año,Entre 7 y 8,Entre 7 y 8,entre 5 y 6 horas diarias,entre 4 y 5 horas diarias,más de 8 horas diarias,entre 2 y 3 horas diarias,menos de 1 hora diaria,entre 4 y 5 horas diarias,5,8,Vivo en un piso compartido,No tengo trabajo,Sí,No,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,Meditación/Yoga,No,,
11/04/2022 17:48:07,20,Hombre,Público,Educación,,,Enfermería,,,Primer año,Entre 8 y 9,Entre 8 y 9,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 6 y 7 horas diarias,entre 5 y 6 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,6,8,Vivo en un piso compartido,Trabajo en verano,No,,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,"Escuchar música, Leer",No,,
11/04/2022 17:49:50,18,Mujer,Concertado,Educación,,,Enfermería,,,Primer año,Entre 7 y 8,Entre 7 y 8,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 3 y 4 horas diarias,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,7,7,Vivo con mis padres,No tengo trabajo,No,,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,"Cocina, Escuchar música",No,,
11/04/2022 17:51:43,19,Mujer,Concertado,Educación,,,Enfermería,,,Primer año,Entre 7 y 8,Entre 7 y 8,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 3 y 4 horas diarias,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,6,7,Vivo con mis padres,No tengo trabajo,No,,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,"Bailar, Escuchar música",No,,
11/04/2022 17:54:36,18,Mujer,Concertado,Educación,,,Enfermería,,,Primer año,Entre 7 y 8,Entre 7 y 8,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,más de 8 horas diarias,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,más de 8 horas diarias,7,10,Vivo en una residencia de estudiantes,No tengo trabajo,Tal vez,Si,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,Escuchar música,No,,
11/04/2022 17:56:11,18,Hombre,Concertado,Educación,,,Enfermería,,,Primer año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 7 y 8 horas diarias,entre 4 y 5 horas diarias,entre 1 y 2 horas diarias,entre 7 y 8 horas diarias,9,10,Vivo con mis padres,No tengo trabajo,Tal vez,Si,Salgo de fiesta más de dos veces al mes,5 o más,Escuchar música,No,,
11/04/2022 17:57:46,18,Mujer,Concertado,Educación,,,Enfermería,,,Primer año,Entre 7 y 8,Entre 7 y 8,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 6 y 7 horas diarias,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 7 y 8 horas diarias,8,9,Vivo con mis padres,Trabajo de manera esporádica,Sí,Si,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,Escuchar música,No,,
11/04/2022 17:59:13,19,Hombre,Concertado,Educación,,,Enfermería,,,Primer año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 5 y 6 horas diarias,más de 8 horas diarias,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 6 y 7 horas diarias,6,10,Vivo con mis padres,No tengo trabajo,No,,Salgo de fiesta más de dos veces al mes,Casi nunca/No hago deporte,Ver películas,No,,
11/04/2022 18:11:14,18,Hombre,Privado,Ciencias,,Física,,,,Primer año,Entre 6 y 7,Entre 6 y 7,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,8,7,Vivo con mis padres,No tengo trabajo,Tal vez,No,Salgo de fiesta más de dos veces al mes,1 o 2 veces por semana,"Escuchar música, Videojuegos",No,,
11/04/2022 18:14:21,21,Mujer,Público,Ciencias,,Física,,,,Primer año,Entre 5 y 6,Entre 5 y 6,entre 8 y 9 horas diarias,entre 5 y 6 horas diarias,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,6,7,Vivo en una residencia de estudiantes,Trabajo en verano,Sí,No,Salgo de fiesta más de dos veces al mes,1 o 2 veces por semana,"Escuchar música, Leer, Ver películas",No,,
11/04/2022 18:16:13,22,Hombre,Concertado,Ciencias,,Biología,,,,Tercer año,Entre 5 y 6,Entre 5 y 6,entre 7 y 8 horas diarias,entre 8 y 9 horas diarias,entre 2 y 3 horas diarias,entre 5 y 6 horas diarias,menos de 1 hora diaria,entre 6 y 7 horas diarias,4,8,Vivo en un piso compartido,Trabajo de manera esporádica,Sí,No,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Cocina, Escuchar música",No,,
11/04/2022 18:21:33,21,Mujer,Público,Educación,,,Educación primaria,,,Tercer año,Entre 8 y 9,Entre 8 y 9,entre 6 y 7 horas diarias,entre 8 y 9 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,7,4,Vivo con mis padres,No tengo trabajo,Sí,Si,Salgo de fiesta más de dos veces al mes,5 o más,"Bailar, Cocina, Escuchar música, Leer, Ver películas",No,,
11/04/2022 18:26:31,18,Hombre,Público,Ciencias,,Biología,,,,Primer año,Entre 4 y 5,Entre 4 y 5,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 3 y 4 horas diarias,más de 8 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,5,9,Vivo en un piso compartido,No tengo trabajo,No,,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,"Bricolaje/Jardinería, Escuchar música, Ver películas",No,,
12/04/2022 9:53:18,20,Mujer,Concertado,Economía y Empresa,Doble grado de AdE y Economía,,,,,Primer año,Entre 6 y 7,Entre 6 y 7,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,entre 5 y 6 horas diarias,4,7,Vivo solo,No tengo trabajo,Sí,No,Salgo de fiesta una o dos veces al mes,Casi nunca/No hago deporte,"Escuchar música, Instrumento musical, Ver películas, Videojuegos",No,,
12/04/2022 9:55:14,21,Mujer,Privado,Economía y Empresa,Doble grado de AdE y Economía,,,,,Segundo año,Entre 7 y 8,Entre 7 y 8,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 1 y 2 horas diarias,entre 1 y 2 horas diarias,entre 1 y 2 horas diarias,8,2,Vivo con mis padres,No tengo trabajo,Sí,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Escuchar música, Ver películas, Videojuegos",No,,
12/04/2022 10:03:20,21,Hombre,Concertado,Educación,,,Educación primaria,,,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,6,6,Vivo con mis padres,No tengo trabajo,Sí,Si,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,"Bailar, Escuchar música, Instrumento musical, Teatro, Ver películas",No,,
12/04/2022 10:05:53,24,Mujer,Público,EPS,,,,,Matemáticas,Primer año,Entre 5 y 6,Entre 5 y 6,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,7,2,Vivo en un piso compartido,Trabajo en verano,Sí,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Coser/ganchillo, Escuchar música, Ver películas",No,,
12/04/2022 10:14:29,20,Mujer,Concertado,Filosofía y Letras,,,,Lengua y Literatura catalana,,Tercer año,Entre 6 y 7,Entre 7 y 8,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,9,7,Vivo con mis padres,Trabajo de manera esporádica,Sí,Si,Salgo de fiesta una o dos veces al mes,Casi nunca/No hago deporte,"Bailar, Dibujar, Escuchar música, Fotografía, Ver películas",No,,
12/04/2022 10:16:13,24,Mujer,Público,Educación,,,Pedagogía,,,Segundo año,Entre 6 y 7,Entre 5 y 6,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,6,5,Vivo con mis padres,Busco trabajo de manera activa,No,,Salgo de fiesta más de dos veces al mes,1 o 2 veces por semana,"Bailar, Escuchar música, Fotografía, Instrumento musical, Teatro, Ver películas",No,,
12/04/2022 10:20:52,22,Mujer,Público,Educación,,,Educación primaria,,,Segundo año,Entre 7 y 8,Entre 7 y 8,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 4 y 5 horas diarias,5,5,Vivo solo,Trabajo de manera esporádica,Sí,Si,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Cocina, Escuchar música, Leer, Teatro",No,,
12/04/2022 10:23:02,24,Hombre,Público,Filosofía y Letras,,,,Trabajo Social,,Tercer año,Entre 5 y 6,Entre 5 y 6,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,entre 4 y 5 horas diarias,5,5,Vivo solo,Trabajo de manera esporádica,Sí,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Ver películas, Videojuegos",No,,
